"","Actor","No. of Films","No. of Hits","avg ROI","avg Budget"
"1"," Akshay Oberoi",1,NA,"-73.333","19"
"2"," Armaan Jain",1,NA,"-81.25","21"
"3"," Manish Paul",1,NA,"-36.364","7"
"4"," Mona Singh",1,NA,"-90.6","52"
"5"," Rajeev Khandelwal",1,NA,"-86.667","19"
"6"," Sachiin J Joshi",1,NA,"-50","66"
"7"," Sanjay Dutt",1,NA,"26.667","19"
"8"," Tusshar Kapoor",1,NA,"-50","5"
"9","Aadil Chahal",1,1,"18.571","62"
"10","Aamir Khan",3,2,"98.8333333333333","21.3333333333333"
"11","Abhay Deol",5,1,"10.7272","33.6"
"12","Abhinav Shukla",1,1,"18.571","62"
"13","Abhishek Bachchan",6,1,"15.0341666666667","35.5"
"14","Achint Kaur",1,1,"18.571","62"
"15","Aditi Rao Hydari",3,NA,"51.1903333333333","46.3333333333333"
"16","Aditi Sharma",1,NA,"85","26"
"17","Aditya Kumar",1,1,"378.261","71"
"18","Aditya Roy Kapoor",3,2,"249.444333333333","38.3333333333333"
"19","Aditya Seal",1,NA,"-93.333","19"
"20","Aftab Shivdasani",2,2,"174.921","55.5"
"21","Ajay Devgn",10,2,"72.7694","48"
"22","Akshara",1,NA,"-51.111","50"
"23","Akshay Kumar",14,5,"76.3915","50.7142857142857"
"24","Ali Fazal",2,1,"333.6365","29.5"
"25","Ali Quli Mirza",1,1,"18.571","62"
"26","Ali Zafar",5,1,"44.4492","40"
"27","Alia Bhatt",4,2,"98.58425","41.75"
"28","Alka Amin",1,1,"130.769","14"
"29","Ameesha Patel",1,NA,"70","60"
"30","Amit Sadh",1,1,"113.333","38"
"31","Amitabh Bachchan",9,2,"11.5157777777778","38.5555555555556"
"32","Amrita Pathak",1,NA,"-50","58"
"33","Amrita Puri",1,NA,"28.571","62"
"34","Amy Jackson",1,NA,"-40","5"
"35","Amyra Dastur",2,NA,"-51.5515","31"
"36","Anand Tiwari",1,NA,"40.421","24"
"37","Anil Kapoor",4,NA,"19.63175","56.25"
"38","Anjali Patil",1,NA,"-20","26"
"39","Annu Kapoor",3,1,"379.849333333333","40"
"40","Anshuman Jha",1,NA,"-33.333","37"
"41","Anupam Kher",9,2,"16.5004444444444","38"
"42","Anushka Sharma",8,1,"10.1275","36.875"
"43","Arhsad Warsi",1,NA,"-10","38"
"44","Arjun Kapoor",6,4,"92.8276666666667","36.8333333333333"
