,Movie,Expected.ROI.pct,Expected.Bgt,ROI.pct,Verdict,Budget,ROI_Cr,pct_ROI,Cast,Genre,Release_Date,Verified.FB.Page,FB.Following,Trailer.Thumbs.Down,Trailer.Thumbs.Up,Youtube.Trailer.hits,Trailer.Date,Days.between.Releases
1,1920 – Evil Returns,162.011,65.16666667,155.556,Super Hit,9,14,155.556,"Aftab Shivdasani,Tia Bajpai,Vidya Malvade",Horror,11/2/2012,NP,39171,351,2772,2325401,10/1/2012,32
2,2 States,111.4891944,41.52777778,188.889,Super Hit,36,68,188.889,"Alia Bhatt,Arjun Kapoor,Ronit Roy",Rom-Com,4/18/2014,Y,3487616,2528,26627,8580840,2/27/2014,50
3,3G,8.888875,47.625,20,Average,5,1,20,"Neil Nitin Mukesh,Sonal Chauhan",Horror,3/15/2013,NP,1002,350,1398,1230118,1/3/2013,71
4,7 Khoon Maaf,49.82464714,38.06071429,26.667,Semi - Hit,15,4,26.667,"Priyanka Chopra,Neil Nitin Mukesh,John Abraham,Irrfan Khan,Naseeruddin Shah",Thriller,2/18/2011,N,32878,33,158,404046,1/24/2011,25
5,Aarakshan,18.34758556,39.85111111,0,Losing,42,0,0,"Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,Deepika Padukone,Prateik Babbar",Drama,8/12/2011,NP,10043,31,277,248118,6/24/2011,49
6,Aashiqui 2,235.4860417,30.91666667,608.333,Blockbuster,12,73,608.333,"Shraddha Kapoor,Aditya Roy Kapoor",Romance,4/26/2013,N,2059767,707,5701,3511303,4/13/2013,13
7,Aatma,57.8987619,47.92857143,0,Losing,8,0,0,"Bipasha Basu,Nawazuddin Siddiqui",Horror,3/22/2013,N,98,319,1039,877698,2/11/2013,39
8,Ab Tak Chappan 2 ,83.96804762,35.9047619,133.333,Super Hit,3,4,133.333,"Nana Patekar,Vikram Gokhale,Mohan Agashe,Raj Zutshi,Gul Panag,Ashutosh Rana,Dilip Prabhawalkar",Crime,2/26/2015,NP,1073,1143,1345,659371,2/9/2015,17
9,ABCD – Any Body Can Dance,211.9925714,18.35714286,283.333,Blockbuster,12,34,283.333,"Prabhudeva,Kay Kay Menon",Dance,2/8/2013,Y,3424681,819,10895,4182257,11/27/2012,73
10,Action Jackson,142.6838682,48.18181818,-21.071,Losing,70,-14.75,-21.071,"Ajay Devgn,Sonakshi Sinha,Yami Gautam",Action,12/5/2014,NP,11969,3870,19295,13288387,10/22/2014,44
11,Agent Vinod,26.63248611,49.27777778,-26.667,Losing,60,-16,-26.667,"Saif Ali Khan,Kareena Kapoor Khan",Action,3/23/2012,NP,4534,529,1632,1857597,2/21/2012,31
