"","Movie","Release_Date.x","Opening.Day","Opening.Weekend","Opening.Week","Lifetime","V","Year","Budget","Genre","SubGenre","Cast","Director","Production","Distributors","X","X.1","X.2","X.3","Release_Date.y","Verified.FB.Page","FB.Following","Trailer.Thumbs.Down","Trailer.Thumbs.Up","Youtube.Trailer.hits","Trailer.Date","Days.between.Releases"
"1","1920 – Evil Returns","2012-11-02",4.05,13,"19",23,"Hit",2012,9,"Horror","","Aftab Shivdasani,Tia Bajpai,Vidya Malvade","Bhushan Patel","Vikram Bhatt","ASA Productions and Enterprises Pvt. Ltd.","",NA,NA,NA,"11/2/2012","NP",39171,351,2772,2325401,"10/1/2012",32
"2","2 States","2014-04-18",11.75,38,"60",104,"Super-Hit",2014,36,"Rom-Com","","Alia Bhatt,Arjun Kapoor,Ronit Roy","Abhishek Varman","Dharma Productions","UTV Motion Pictures","",NA,NA,NA,"4/18/2014","Y",3487616,2528,26627,8580840,"2/27/2014",50
"3","3G","2013-03-15",0.75,3.63,"5.75",6,"Flop",2013,5,"Horror","","Neil Nitin Mukesh,Sonal Chauhan","Sheershak Anand","","","",NA,NA,NA,"3/15/2013","NP",1002,350,1398,1230118,"1/3/2013",71
"4","7 Khoon Maaf","2011-02-18",3.1,10.25,"14.75",19,"Flop",2011,15,"Thriller","","Priyanka Chopra,Neil Nitin Mukesh,John Abraham,Irrfan Khan,Naseeruddin Shah","Vishal Bhardwaj","","UTV Spotboy","",NA,NA,NA,"2/18/2011","N",32878,33,158,404046,"1/24/2011",25
"5","Aarakshan","2011-08-12",4.5,18.5,"28",42,"Flop",2011,42,"Drama","","Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,Deepika Padukone,Prateik Babbar","Prakash Jha","Base Industries Group,
Prakash Jha Productions","Reliance Entertainment","",NA,NA,NA,"8/12/2011","NP",10043,31,277,248118,"6/24/2011",49
"6","Aashiqui 2","2013-04-26",6,20,"38.5",85,"Super-Hit",2013,12,"Romance","","Shraddha Kapoor,Aditya Roy Kapoor","","","","",NA,NA,NA,"4/26/2013","N",2059767,707,5701,3511303,"4/13/2013",13
"7","Aatma","2013-03-22",1.5,5.75,"8",8,"Flop",2013,8,"Horror","","Bipasha Basu,Nawazuddin Siddiqui","Suparn Verma","Wide Frame Pictures","Wide Frame Pictures","",NA,NA,NA,"3/22/2013","N",98,319,1039,877698,"2/11/2013",39
"8","Ab Tak Chappan 2 ","2015-02-26",1.25,3.1,"",7,"--",2015,3,"Crime","","Nana Patekar,Vikram Gokhale,Mohan Agashe,Raj Zutshi,Gul Panag,Ashutosh Rana,Dilip Prabhawalkar","Aejaz Gulab","","","",NA,NA,NA,"2/26/2015","NP",1073,1143,1345,659371,"2/9/2015",17
"9","ABCD – Any Body Can Dance","2013-02-08",5.5,18,"32",46,"Super-Hit",2013,12,"Dance","","Prabhudeva,Kay Kay Menon","Remo D'Souza","UTV Spotboy","UTV Motion Pictures","",NA,NA,NA,"2/8/2013","Y",3424681,819,10895,4182257,"11/27/2012",73
"10","Action Jackson","2014-12-05",9.25,29," 45.75",55.25," Flop",2014,70,"Action","","Ajay Devgn,Sonakshi Sinha,Yami Gautam","Prabhu Deva","Baba Films","Eros International","",NA,NA,NA,"12/5/2014","NP",11969,3870,19295,13288387,"10/22/2014",44
