Movie,Release_Date,Verified FB Page,FB Following,Trailer Thumbs Down,Trailer Thumbs Up,Youtube Trailer hits,Trailer Date,Days between Releases
Dil Dhadakne Do,6/5/2015,Y,150000,2786,19988,4657298,4/15/2015,51
Tanu Weds Manu Returns,5/22/2015,Y,379000,1387,24290,7748874,4/14/2015,38
Welcome To Karachi,5/28/2015,N,6567,1077,11015,4239070,4/13/2015,45
Piku,5/8/2015,Y,303547,1530,18980,5521602,4/13/2015,25
Gabbar is Back,5/1/2015,Y,622013,1899,24104,5003859,3/23/2015,39
Bombay Velvet,5/15/2015,N,11233,5585,15218,6118132,3/18/2015,58
Kuch Kuch Locha Hain,5/8/2015,NP,4044,2798,8500,5014508,3/30/2015,39
Mr X ,4/17/2015,NP,11617,152,717,461828,3/9/2015,39
Margarita With a Straw,4/17/2015,Y,38383,108,2228,594322,3/4/2015,44
Leela ,4/10/2015,N,140013,7026,24744,16207624,2/5/2015,64
Dharam Sankat Mein ,4/10/2015,N,367,2493,231,1269860,3/17/2015,24
Byomkesh Bakshi ,4/3/2015,Y,99077,818,9357,3029567,1/21/2015,72
Hunterr,3/20/2015,Y,110327,788,3759,4690757,1/15/2015,64
NH 10,3/13/2015,NP,9330,1532,15525,5600719,2/5/2015,36
Barkhaa,3/27/2015,N,143,475,1747,1636643,3/5/2015,22
Dum Laga Ke Haisha,2/27/2015,Y,94280,620,8196,3259537,2/5/2015,22
Dilliwali Zaalim Girlfriend,3/20/2015,N,54733,808,4298,2321222,2/16/2015,32
Dirty Politics,3/6/2015,N,893,1040,2298,2384414,12/21/2014,75
Hey Bro,3/6/2015,N,843,703,2062,1150768,1/15/2015,50
Badmashiyan,3/6/2015,N,28718,97,327,1022891,1/28/2015,37
Ab Tak Chappan 2 ,2/26/2015,NP,1073,1143,1345,659371,2/9/2015,17
Badlapur ,2/20/2015,N,3575,18976,3231,4554209,12/1/2014,81
Roy ,2/13/2015,Y,157896,3239,19013,7690714,12/16/2014,59
MSG,2/13/2015,Y,125361,11168,41815,3271100,12/18/2014,57
Shamitabh ,1/30/2015,NP,2152,1270,12292,2105208,1/6/2015,24
Baby,1/23/2015,Y,173242,29267,2432,7976757,12/3/2014,51
Khamoshiyan ,1/30/2015,NP,15416,1010,4641,3100238,12/11/2014,50
Hawaizaada,1/30/2015,NP,7875,539,2618,2370530,12/23/2014,38
Dolly Ki Doli,1/23/2015,Y,83285,834,5800,2548366,12/12/2014,42
PK ,1/9/2015,NP,116782,5762,44114,13296258,10/23/2014,78
Tevar ,1/16/2015,NP,5065,1739,11273,6137326,11/10/2014,67
Alone ,12/26/2014,Y,320581,2954,19008,8801439,12/9/2014,17
Ugly,12/19/2014,Y,53773,325,3423,1806929,12/15/2014,4
Action Jackson,12/5/2014,NP,11969,3870,19295,13288387,10/22/2014,44
Ungli,11/28/2014,Y,100826,492,6919,2746986,9/29/2014,60
Zid,11/28/2014,Y,59909,62,186,258195,11/21/2014,7
Zed Plus,11/28/2014,Y,45389,69,660,528520,10/29/2014,30
Happy Ending,11/21/2014,NP,2502,1125,6947,5194852,10/9/2014,43
Kill Dil,11/14/2014,Y,152809,1306,8311,3396755,9/17/2014,58
The Shaukeens,11/7/2014,Y,94707,560,4374,2375495,9/27/2014,41
Rang Rasiya,11/7/2014,Y,38151,175,730,1129472,9/25/2014,43
Super Nani,10/31/2014,Y,58430,282,1574,875773,9/19/2014,42
Roar,10/31/2014,Y,314003,78,522,282946,7/31/2014,92
Happy New Year,10/24/2014,Y,4585533,10306,37666,6402261,8/14/2014,71
Haider,10/2/2014,NP,39820,2447,23615,7052828,7/8/2014,86
Bang Bang,10/2/2014,NP,171515,1196,9501,15893186,9/25/2014,7
Daawat-e-Ishq,9/19/2014,Y,376321,1374,8326,3906600,7/7/2014,74
Khoobsurat,9/19/2014,NP,64295,2042,12361,5495318,7/21/2014,60
Finding Fanny,9/12/2014,N,48092,2752,13033,6145833,7/8/2014,66
Creature 3D,9/12/2014,Y,147016,1541,5882,2880646,7/16/2014,58
Mary Kom,9/5/2014,Y,289814,1648,26604,6088430,7/23/2014,44
Raja Natwarlal,8/29/2014,NP,8775,1157,8218,4051325,7/18/2014,42
Mardaani,8/22/2014,Y,258423,1036,14450,4379649,6/24/2014,59
Singham Returns,8/15/2014,NP,15044,2908,20049,8290039,7/11/2014,35
